brand,name,option,price,rate,발색력,지속력,발림성,type,Closest_Personal_Color,x_coord,y_coord,Image URL,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,recommend_num
3CE,3CE 벨벳 립 틴트,ABSORBED,18000,4.0,2.0,1.5,2.0,립틴트,Winter Cool,0.99051877,0.2519204,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2021/7/4151556753107969027.jpg,0.80735214,0.30429343,0.33195441,0.99051877,0.6259602,0.80735214,10
3CE,3CE 블러 매트 립스틱,APRICOT,22000,4.351145038,2.503816794,1.854961832,2.480916031,립스틱,Spring Warm,0.0316881,-0.55970342,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/5/7715774022123923036.jpg,0.75292979,0.63834989,0.61192658,0.0316881,0.22014829,0.75292979,120
3CE,3CE 블러 매트 립스틱,APRICOTFILTER,22000,4.205882353,2.514705882,2.029411765,2.117647059,립스틱,Spring Warm,0.05425976,-0.32233972,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/4/3208390851048781541.jpg,0.8265404,0.62352862,0.57291232,0.05425976,0.33883014,0.8265404,45
3CE,3CE 블러 워터 틴트,BAKEBEIGE,18000,5.0,2.75,2.5,2.75,립틴트,Autumn Warm,0.03332229,0.28187898,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/2194268899839537705.PNG,0.75837595,0.36959644,0.27278737,0.03332229,0.64093949,0.75837595,0
3CE,3CE 소프트 매트 립스틱,BETTERMOOD,19000,3.333333333,2.333333333,2.0,2.333333333,립스틱,Summer Cool,0.91054401,-0.47876884,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/6/2915373169742933282.jpg,0.70526627,0.56314759,0.61851202,0.91054401,0.26061558,0.70526627,24
3CE,3CE 벨벳 립 틴트,BITTERHOUR,18000,4.875,2.8125,2.1875,2.6875,립틴트,Autumn Warm,0.03753106,0.33789578,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2021/8/5881241113956336734.jpg,0.57725631,0.27855255,0.19174224,0.03753106,0.66894789,0.57725631,13
3CE,3CE 클라우드 립 틴트,BLOSSOMDAY,21600,4.732732733,2.852852853,2.891891892,2.753753754,립틴트,Winter Cool,0.98783292,0.23558778,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2020/6/4989715206642393135.jpg,0.82547872,0.31794275,0.35506646,0.98783292,0.61779389,0.82547872,66
3CE,3CE 헤이지 립 클레이,BORNTOFIG,20000,5.0,3.0,3.0,3.0,립틴트,Summer Cool,0.96194182,-0.3102277,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/2/4830170229972777856.jpg,0.70151073,0.50714412,0.55458956,0.96194182,0.34488615,0.70151073,0
3CE,3CE 블러 워터 틴트,BREEZEWAY,18000,4.083333333,2.083333333,2.916666667,3.0,립틴트,Spring Warm,0.04525383,0.12518244,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/6975061852643482200.PNG,0.83239783,0.48223026,0.3666627,0.04525383,0.56259122,0.83239783,2
3CE,3CE 블러 매트 립스틱,BREEZYMELODY,22000,4.75,2.75,2.35,2.7,립스틱,Spring Warm,0.03368595,-0.14247264,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/12/8552073034015312180.jpg,0.83616236,0.54524824,0.50445193,0.03368595,0.42876368,0.83616236,0
3CE,3CE 헤이지 립 클레이,BUTTERBEIGE,20000,4.866666667,2.833333333,2.633333333,2.833333333,립틴트,Spring Warm,0.03548796,-0.23414774,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/7/257487648858957945.jpg,0.82293718,0.58427023,0.53438554,0.03548796,0.38292613,0.82293718,14
3CE,3CE 벨벳 립 틴트,BestEVER,18000,4.722929936,2.792993631,2.222929936,2.621019108,립틴트,Winter Cool,0.98265255,0.84114778,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2020/6/5229918928773753606.jpg,0.88845399,0.07189803,0.15687278,0.98265255,0.92057389,0.88845399,332
3CE,3CE 드롭 글로우 젤,CALMING,18000,4.853658537,2.548780488,2.036585366,2.573170732,립틴트,Summer Cool,0.96079324,-0.42047302,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/3/596536866247803866.jpg,0.83338808,0.61465568,0.66170749,0.96079324,0.28976349,0.83338808,29
3CE,3CE 벨벳 립 틴트,CASHMERENUDE,18000,4.847457627,2.762711864,2.254237288,2.711864407,립틴트,Spring Warm,0.00513418,0.01601662,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2021/8/2707973791992310121.jpg,0.79044415,0.40168423,0.38945142,0.00513418,0.50800831,0.79044415,54
3CE,3CE 블러 워터 틴트,CASUALAFFAIR,18000,4.786516854,2.876404494,2.674157303,2.853932584,립틴트,Winter Cool,0.99488897,0.3026369,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/1241275567209657485.PNG,0.76096615,0.26599602,0.28137405,0.99488897,0.65131845,0.76096615,99
3CE,3CE 블러 워터 틴트,CHASINGROSE,18000,4.722222222,2.861111111,2.506944444,2.583333333,립틴트,Summer Cool,0.39668421,-0.00358506,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/6/2560299243709536450.jpg,0.82227785,0.43274026,0.43258545,0.39668421,0.49820747,0.82227785,209
3CE,3CE 헤이지 립 클레이,CHERRYFLUFF,20000,4.784810127,2.772151899,2.46835443,2.582278481,립틴트,Summer Cool,0.97045326,-0.18075042,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/7/4946620399676449789.jpg,0.78743308,0.50088301,0.53719287,0.97045326,0.40962479,0.78743308,30
3CE,3CE 벨벳 립 틴트,CHILDLIKE,18000,4.700787402,2.566929134,2.267716535,2.393700787,립틴트,Autumn Warm,0.01990638,0.84352604,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2020/6/7942459140193465006.jpg,0.85103095,0.16238377,0.06944645,0.01990638,0.92176302,0.85103095,33
3CE,3CE 소프트 매트 립스틱,CHILLMOVE,19000,4.746736292,2.634464752,2.365535248,2.62924282,립스틱,Autumn Warm,0.00507253,0.10876186,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/8811313025078169068.PNG,0.60381956,0.27972693,0.26955666,0.00507253,0.55438093,0.60381956,202
3CE,3CE 샤인 리플렉터,COLDEST,19000,4.823529412,2.610547667,2.00811359,2.839756592,립스틱,Summer Cool,0.95585388,-0.3919316,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/11/1107011484498395216.jpg,0.75517408,0.55907175,0.6117645,0.95585388,0.3040342,0.75517408,79
3CE,3CE 헤이지 립 클레이,COMMONSTRANGER,20000,4.6,2.541176471,2.388235294,2.541176471,립틴트,Spring Warm,0.0239375,-0.05276488,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/7/1893347289324582732.jpg,0.76258997,0.46721059,0.43848622,0.0239375,0.47361756,0.76258997,21
3CE,3CE 블러 워터 틴트,CORALMOON,18000,4.813333333,2.813333333,2.56,2.666666667,립틴트,Spring Warm,0.01002685,0.35521402,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/7599292674000089186.PNG,0.85707637,0.31072817,0.27635689,0.01002685,0.67760701,0.85707637,156
3CE,3CE 벨벳 립 틴트,COZYCRUSH,18000,4.461538462,2.461538462,2.307692308,2.384615385,립틴트,Spring Warm,0.2028803,-0.21453786,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/10/2767235078202180917.jpg,0.81097182,0.50157689,0.49626394,0.2028803,0.39273107,0.81097182,3
3CE,3CE 벨벳 립 틴트,DAFFODIL,18000,4.607476636,2.836448598,2.214953271,2.778816199,립틴트,Autumn Warm,0.01107365,0.39425966,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2020/6/7531491434664067819.jpg,0.76420098,0.26913864,0.23419818,0.01107365,0.69712983,0.76420098,287
3CE,3CE 블러 워터 틴트,DEARMARCH,18000,4.651515152,2.833333333,2.393939394,2.318181818,립틴트,Spring Warm,0.01333399,-0.03967874,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/2/1372116548844496956.jpg,0.74443313,0.41688255,0.38819916,0.01333399,0.48016063,0.74443313,207
3CE,3CE 블러 워터 틴트,DOUBLEWIND,18000,4.659722222,2.708333333,2.347222222,2.701388889,립틴트,Winter Cool,0.98771792,0.36961178,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/4/5243423182645333158.PNG,0.66578385,0.21008979,0.24367062,0.98771792,0.68480589,0.66578385,935
